未プレイ曲名
東方妖々夢 ULTIMATE MEDLEY(鬼)
鳳 (Five Flares Mix)(鬼)
迷宮のロンド(鬼)
勇猛無比(鬼)
リリーゼと炎龍レーヴァテイン(鬼)
Dragon Blade(鬼)
EYE OF THE HEAVEN(激)
3y3s(鬼)
[ ]DENTITY(鬼)
Lose Your Sense(鬼)
Meteor(鬼)
MODEL FT2 Miracle Version(鬼)
Re:RHYZE(鬼)
Saiph(鬼)
The Least 100sec(鬼)
